company_name,isin_code
Kino Polska TV Spółka Akcyjna,PLKNOPL00014
XTRADEBDM,PLXTRDM00011
RELPOL SA,PLRELPL00014
BANK HANDLOWY W WARSZAWIE SA,PLBH00000012
BENEFIT SYSTEMS SPÓŁKA AKCYJNA,PLBNFTS00018
TOYA SPÓŁKA AKCYJNA,PLTOYA000011
GLOBE TRADE CENTRE S.A.,PLGTC0000037
PCC ROKITA SPÓŁKA AKCYJNA,PLPCCRK00076
PROCAD SPÓŁKA AKCYJNA,removed
ORBIS SA,PLORBIS00014
WOJAS SPÓŁKA AKCYJNA,PLWOJAS00014
ABS INVESTMENT SPÓŁKA AKCYJNA,PLABSIN00012
GRUPA ŻYWIEC SA,PLZYWIC00016
BESKIDZKIE BIURO CONSULTINGOWE SPÓŁKA AKCYJNA,PLBBCLS00017
BIOMAXIMA SPÓŁKA AKCYJNA,PLBIOMX00015
AFORTI HOLDING SPÓŁKA AKCYJNA,PLMNTHL00016
MAXIMUS Spółka Akcyjna,PLMAXMS00010
E-MUZYKA SPÓŁKA AKCYJNA,PLEMZKA00019
AC SPÓŁKA AKCYJNA,PLACSA000014
MOBILE FACTORY SPÓŁKA AKCYJNA,removed
STOPKLATKA SPÓŁKA AKCYJNA,PLSTPKL00012
FORTUNA ENTERTAINMENT GROUP N.V.,removed
FABRYKA FARB I LAKIERÓW ŚNIEŻKA SA,PLSNZKA00033
TROPHYRES,removed
PRODUKTY KLASZTORNE SPÓŁKA AKCYJNA,removed
DOM MAKLERSKI IDM SA,PLIDMSA00044
LUG SPÓŁKA AKCYJNA,PLLUG0000010
IDEABANK-PDA ,PLIDEAB00013
FERRO SPÓŁKA AKCYJNA,PLFERRO00016
CSY SPÓŁKA AKCYJNA,removed
RSY SPÓŁKA AKCYJNA,PLRSYSA00014
ALTUS TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH S.A.,PLATTFI00018
MACROLOGIC SA,PLMCSFT00018
QUERCUS TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SPÓŁKA AKCYJNA,PLQRCUS00012
CORELENS,removed
MADKOM SPÓŁKA AKCYJNA,PLMADKM00019
ATC CARGO SPÓŁKA AKCYJNA,PLATCRG00013
AGROTOUR SPÓŁKA AKCYJNA,PLAGRTR00011
HOTBLOK SPÓŁKA AKCYJNA,PLHOTB000011
EUROSYSTEM SPÓŁKA AKCYJNA,PLEURSS00014
i3D SPÓŁKA AKCYJNA,removed
SFD SPÓŁKA AKCYJNA,PLSFD0000013
VEE SPÓŁKA AKCYJNA,PLVCTCM00019
ATON-HT SPÓŁKA AKCYJNA,PLATNHT00014
CERTUS CAPITAL SPÓŁKA AKCYJNA,PLCRTCP00036
AGENCJA ROZWOJU INNOWACJI SPÓŁKA AKCYJNA,PLAGRIN00013
QUART DEVELOPMENT SPÓŁKA AKCYJNA,PLQRTDV00016
LOGZACT SPÓŁKA AKCYJNA,PLLGZCT00013
NANOTEL SPÓŁKA AKCYNA,PLNANTL00019
WIERZYCIEL SPÓŁKA AKCYJNA,PLWRZCL00014
BALTICON SPÓŁKA AKCYJNA,PLBLT0000013
GOLAB SPÓŁKA AKCYJNA,PLGOLAB00019
PLATIGE IMAGE SPÓŁKA AKCYJNA,PLPTGMG00013
IDH DEVELOPMENT SPÓŁKA AKCYJNA,PLICI0000010
GRUPA JAGUAR SPÓŁKA AKCYJNA,PLGPJGR00013
INTERSPORT POLSKA SPÓŁKA AKCYJNA,PLINTSP00038
FOREVER ENTERTAINMENT SPÓŁKA AKCYJNA,PLFRENT00014
FACHOWCY.PL VENTURES SPÓŁKA AKCYJNA,PLFCHVT00012
CITYSERV,EE3100126368
DOOK,PLDOOK000019
ASTRO Spółka Akcyjna,PLASTRO00013
EASTSIDECAPITAL SPÓŁKA AKCYJNA,PLEENRG00014
BIOMASS ENERGY PROJECT SPÓŁKA AKCYJNA,PLBMSEP00011
GO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH S.A.,PLGOTFI00016
B2BPARTNER SPÓŁKA AKCYJNA,PLZKPCM00011
ECOTECH POLSKA SPÓŁKA AKCYJNA,PLECTPL00019
SUMMA LINGUAE SPÓŁKA AKCYJNA,PLSMLNG00010
FITEN SPÓŁKA AKCYJNA,PLFITEN00013
TELEMEDYCYNA POLSKA SPÓŁKA AKCYJNA,PLTLMDC00018
STANDREW SPÓŁKA AKCYJNA,PLSTNDR00019
BLOOBER TEAM SPÓŁKA AKCYJNA,PLBLOBR00014
FOOTHILLS SPÓŁKA AKCYJNA,PLTLCMD00018
MEDAPP SPÓŁKA AKCYJNA,PLYLWHT00012
ART & BUSINESS MAGAZINE SPÓŁKA AKCYJNA,PLARTBM00013
MM CONFERENCES SPÓŁKA AKCYJNA,PLMMCNF00014
SHEEPYARD SPÓŁKA AKCYJNA,PLDRKND00010
INTELIWISE SPÓŁKA AKCYJNA,PLITLWS00012
GLOBAL TRADE SPÓŁKA AKCYJNA,PLGLBLT00015
HEFAL SERWIS SPÓŁKA AKCYJNA,PLHFLSW00013
ADMIRAL BOATS SPÓŁKA AKCYJNA,PLADMBT00013
HEMP & HEALTH SPÓŁKA AKCYJNA,PLEBCSL00011
MINOX SPÓŁKA AKCYJNA,PLMINOX00010
PRESTO SPÓŁKA AKCYJNA,PLPRSTO00011
LETUS CAPITAL SPÓŁKA AKCYJNA,PLGDVIS00018
MGM SYSTEMS SPÓŁKA AKCYJNA,PLMGMST00015
ACARTUS SPÓŁKA AKCYJNA,PLACRTS00018
BROWAR GONTYNIEC SPÓŁKA AKCYJNA,PLBRWRG00013
CONCEPT LIBERTY GROUP SPÓŁKA AKCYJNA,PLLBRTG00012
MOLIERA2 SPÓŁKA AKCYJNA,PLAIRMK00017
PLAYWAY SPÓŁKA AKCYJNA,PLPLAYW00015
KORBANK SPÓŁKA AKCYJNA,PLKRBNK00019
OCTAVA SPÓŁKA AKCYJNA,PLNFI0800016
ROVITA SPÓŁKA AKCYJNA,PLRVITA00019
PÓŁNOC NIERUCHOMOŚCI SPÓŁKA AKCYJNA,PLPNCNR00010
STILO ENERGY SPÓŁKA AKCYJNA,PLSTIGR00012
GWARANT AGENCJA OCHRONY SPÓŁKA AKCYJNA,PLGWRNT00014
INVESTMENT FRIENDS CAPITAL SPÓŁKA AKCYJNA,EE3100065392
GEOTRANS SPÓŁKA AKCYJNA,PLGEOTR00010
KRYNICA VITAMIN SPÓŁKA AKCYJNA,PLKRVTM00010
SCOPE FLUIDICS SPÓŁKA AKCYJNA,PLSCPFL00018
PRIMA MODA SPÓŁKA AKCYJNA,PLPRMMD00012
MINERAL MIDRANGE SPÓŁKA AKCYJNA,PLMNRLM00010
LK DESIGNER SHOPS SPÓŁKA AKCYJNA,PLLKDGS00015
ONE SOLUTION SPÓŁKA AKCYJNA,PLONESL00011
VABUN SPÓŁKA AKCYJNA,PLVBN0000015
BERLING SPÓŁKA AKCYJNA,PLBRLNG00015
ATLANTIS SPÓŁKA AKCYJNA,EE3100063686
WAWEL SPÓŁKA AKCYJNA,PLWAWEL00013
REINHOLD EUROPE AB SPÓŁKA AKCYJNA,SE0001856519
PMPG POLSKIE MEDIA SPÓŁKA AKCYJNA,PLPEKPL00010
VIVID GAMES SPÓŁKA AKCYJNA,PLVVDGM00014
POLWAX SPÓŁKA AKCYJNA,PLPOLWX00026
SHOPER SPÓŁKA AKCYJNA,PLSHPR000021
MFO SPÓŁKA AKCYJNA,PLMFO0000013
RANK PROGRESS SPÓŁKA AKCYJNA,PLRNKPR00014
FABRYKI SPRZĘTU I NARZĘDZI GÓRNICZYCH GRUPA KAPITAŁOWA FASING SPÓŁKA AKCYJNA,PLFSING00010
ERG SPÓŁKA AKCYJNA,PLERGZB00014
MOJ SPÓŁKA AKCYJNA,PLMOJ0000015
ATLAS ESTATES LIMITED,GB00B0WDBP88
PRZEDSIĘBIORSTWO PRZEMYSŁU SPOŻYWCZEGO PEPEES SPÓŁKA AKCYJNA,PLPEPES00018
LUBAWA SPÓŁKA AKCYJNA,PLLUBAW00013
PRAGMA FAKTORING SPÓŁKA AKCYJNA,PLGFPRE00040
P.R.E.S.C.O. GROUP SPÓŁKA AKCYJNA,PLPRESC00075
XBS PRO-LOG SPÓŁKA AKCYJNA,PLPROLG00013
SUWARY SPÓŁKA AKCYJNA,PLSUWAR00014
WERTH-HOLZ SPÓŁKA AKCYJNA,PLWRTHL00016
DEKTRA SPÓŁKA AKCYJNA,PLDKTRA00013
DOM LEKARSKI SPÓŁKA AKCYJNA,PLDMLKR00023
AGORA SPÓŁKA AKCYJNA,PLAGORA00067
POLSKIE GÓRNICTWO NAFTOWE I GAZOWNICTWO SPÓŁKA AKCYJNA,PLPGNIG00014
KAMPA SPÓŁKA AKCYJNA,removed
GRUPA TRINITY SPÓŁKA AKCYJNA,PLGTRNT00010
AKCEPT FINANCE SPÓŁKA AKCYJNA,PLAKCFN00013
NOVAVIS GROUP SPÓŁKA AKCYJNA,PLNFI0500012
EUROPEJSKI FUNDUSZ ENERGII SPÓŁKA AKCYJNA,PLINTRW00028
POLMAN SPÓŁKA AKCYJNA,PLPOLMN00010
ZAKŁADY MAGNEZYTOWE ROPCZYCE SPÓŁKA AKCYJNA,PLROPCE00017
PRYMUS SPÓŁKA AKCYJNA,PLPRMUS00013
INCANA SPÓŁKA AKCYJNA,PLINCNA00011
VR FACTORY GAMES SPÓŁKA AKCYJNA,PLSFLND00011
LS TECH-HOMES SPÓŁKA AKCYJNA,PLLSTHM00015
S4E SPÓŁKA AKCYJNA,PLS4E0000015
LAUREN PESO POLSKA SPÓŁKA AKCYJNA,PLLRPSP00015
IAI SPÓŁKA AKCYJNA,PLIAI0000014
MARKA SPÓŁKA AKCYJNA,PLMARKA00014
DASE FINANCIAL GROUP SPÓŁKA AKCYJNA,PLDSFNG00011
EXCELLENCE SPÓŁKA AKCYJNA,PLEXCLN00016
ABAK SPÓŁKA AKCYJNA,PLABAK000013
AGROMA SPÓŁKA AKCYJNA,PLAGROM00013
ARTS ALLIANCE GK SPÓŁKA AKCYJNA,PLMIDVN00017
VENITI SPÓŁKA AKCYJNA,PLVENIT00010
GRUPA KONSULTINGOWO-INŻYNIERYJNA KOMPLEKS SPÓŁKA AKCYJNA,PLGKIKM00019
PGS SOFTWARE SPÓŁKA AKCYJNA,PLSFTWR00015
PRZEDSIĘBIORSTWO TELEKOMUNIKACYJNE TELGAM SPÓŁKA AKCYJNA,PLPTLTG00018
VIATRON SPÓŁKA AKCYJNA,PLVTRON00010
INTERFERIE SPÓŁKA AKCYJNA,PLINTFR00023
PARCEL TECHNIK SPÓŁKA AKCYJNA,PLBMRNG00013
KANCELARIA MEDIUS SPÓŁKA AKCYJNA,PLMDIUS00018
IMPEXMETAL SPÓŁKA AKCYJNA,PLIMPXM00019
CDRL SPÓŁKA AKCYJNA,PLCDRL000043
CANNABIS POLAND SPÓŁKA AKCYJNA,PLBLOCM00013
TRUE GAMES SYNDICATE SPÓŁKA AKCYJNA,PLKKHRB00011
UNIMOT SPÓŁKA AKCYJNA,PLUNMOT00013
LANGLOO.COM SPÓŁKA AKCYJNA,PLLANGL00010
FORPOSTA SPÓŁKA AKCYJNA,PLFRPST00019
HUB.TECH SPÓŁKA AKCYJNA,PLBRTZM00010
SKOCZOWSKA FABRYKA KAPELUSZY POLKAP SPÓŁKA AKCYJNA,PLSFKPL00011
ORGANIC FARMA ZDROWIA SPÓŁKA AKCYJNA,PLORGNK00010
CARBON GROUP SPÓŁKA AKCYJNA,PLEKTRM00016
NEPTIS SPÓŁKA AKCYJNA,PLNEPTS00011
MAKOLAB SPÓŁKA AKCYJNA,PLMKLAB00023
BGE SPÓŁKA AKCYJNA,PLBGE0000015
PCF GROUP SPÓŁKA AKCYJNA,PLPCFGR00010
BIO PLANET SPÓŁA AKYCJNA,PLBIOPL00013
AGROMEP SPÓŁKA AKCYJNA,PLAGRMP00010
READ-GENE SPÓŁKA AKCYJNA,PLRADGN00014
XSYSTEM SPÓŁKA AKCYJNA,PLXSTEM00017
MR HAMBURGER SPÓŁKA AKCYJNA,PLLSNRN00015
FINHOUSE SPÓŁKA AKCYJNA,PLFINHS00018
GRUPA KLEPSYDRA SPÓŁKA AKCYJNA,PLMRTIN00011
TYLKO PIŁKA SPÓŁKA AKCYJNA,removed
MZN PROPERTY SPÓŁKA AKCYJNA,PLMORZN00016
LOGINTRADE SPÓŁKA AKCYJNA,PLLGNTD00017
SFERANET SPÓŁKA AKCYJNA,PLSFRNT00014
BIOMAXIMA SPÓŁKA AKCYJNA,PLBIOMX00015
BELEAF SPÓŁKA AKCYJNA,PLBLTXG00010
CENTRUM WSPIERANIA PROJEKTÓW EUROPEJSKICH SPÓŁKA AKCYJNA,PLCWPE000017
ICP GROUP SPÓŁKA AKCYJNA,removed
SYMBIO POLSKA SPÓŁKA AKCYJNA,PLSMBI000013
EFICOM SPÓŁKA AKCYJNA,removed
AUTO-SPA SPÓŁKA AKCYJNA,removed
BGS ENERGY PLUS A.S.,CZ0005121707
XPLUS SPÓLKA AKCYJNA,PLXPLUS00013
ALUMAST SPÓŁKA AKCYJNA,PLALMST00010
PREMIUM FOOD RESTAURANTS SPÓŁKA AKCYJNA,removed
JUJUBEE SPÓŁKA AKCYJNA,PLJJBEE00028
MEDICOFARMA BIOTECH SPÓŁKA AKCYJNA,PLINBOK00010
ICE CODE GAMES SPÓŁKA AKCYJNA,PLDGTAV00013
HURTIMEX SPÓŁKA AKCYJNA,PLHRTIM00013
A.P.N. PROMISE SPÓŁKA AKCYJNA,PLAPNPS00017
GRUPA EMMERSON SPÓŁKA AKCYJNA,PLEMRCP00011
EMMERSON REALTY SPÓŁKA AKCYJNA,PLEMRSN00012
SOLAR INNOVATION SPÓŁKA AKCYJNA,PLTABLO00012
POLSKA GRUPA MILITARNA SPÓŁKA AKCYJNA,PLVNTCP00019
M4B SPÓŁKA AKCYJNA,PLM4B0000017
GAMEDUST SPÓŁKA AKCYJNA,PLINSTC00010
SUNTECH SPÓŁKA AKCYJNA,PLSNTCH00012
OPTIGIS SPÓŁKA AKCYJNA,PLIMAGS00013
HM INWEST SPÓŁKA AKCYJNA,PLHMINW00016
SERINUS ENERGY PLC,JE00BNNMKT29
GRUPA HRC SPÓŁKA AKCYJNA,PLGRHRC00012
GENESIS ENERGY SPÓŁKA AKCYJNA,PLDVCOM00018
ALCHEMIA SPÓŁKA AKCYJNA,PLGRBRN00012
CASPAR ASSET MANAGEMENT SPÓŁKA AKCYJNA,PLCSPAM00017
LOKATY BUDOWLANE SPÓŁKA AKCYJNA,PLFBRD000018
VENO SPÓŁKA AKCYJNA,removed
PHARMENA SPÓŁKA AKCYJNA,PLPHRMN00011
INVICO SPÓŁKA AKCYJNA,PLPRGTR00019
REVITUM SPÓŁKA AKCYJNA,PLRVTUM00019
GC INVESTMENT SPÓŁKA AKCYJNA,PLGCINV00011
SEKA SPÓŁKA AKCYJNA,removed
TARCZYŃSKI SPÓŁKA AKCYJNA,PLTRCZN00016
GRUPA RECYKL SPÓŁKA AKCYJNA,PLRCKL000010
MODECOM SPÓŁKA AKCYJNA,PLMDCOM00017
BRAS SPÓŁKA AKCYJNA,PLINVNT00011
MAKORA KROŚNIEŃSKA HUTA SZKŁA SPÓŁKA AKCYJNA,PLMRKHS00011
DYWILAN SPÓŁKA AKCYJNA,PLDWLAN00014
BANK BPH SA,PLBPH0000019
INWESTYCJE ALTERNATYWNE PROFIT SPÓŁKA AKCYJNA,removed
WODKAN PRZEDSIĘBIORSTWO WODOCIĄGÓW I KANALIZACJI SA,PLWDKAN00016
INVESTEKO SPÓŁKA AKCYJNA,PLIVSTK00016
UNITED LABEL SPÓŁKA AKCYJNA,PLUNTDL00018
DEVO ENERGY SPÓŁKA AKCYJNA,PLVGUAR00011
GREMPCO SPÓŁKA AKCYJNA,PLGRMPC00016
PILAB SPÓŁKA AKCYJNA,PLPILAB00012
EZO SPÓŁKA AKCYJNA,PLEZOSA00018
AMREST HOLDINGS SE,ES0105375002
OPEN - NET SPÓŁKA AKCYJNA, removed
MILISYSTEM SPÓŁKA AKCYJNA,PL2INTC00018
MERCOR SPÓŁKA AKCYJNA,PLMRCOR00016
MEGA SONIC SPÓŁKA AKCYJNA,PLMGSNC00019
STEM CELLS SPIN SPÓŁKA AKCYJNA,PLSTCLS00013
INDEXMEDICA SPÓŁKA AKCYJNA,removed
CENTRUM FINANSOWE BANKU BPS SPÓŁKA AKCYJNA,PLCFBPS00019
EASYCALL.PL SPÓŁKA AKCYJNA,PLESCLL00010
GENOMED SPÓŁKA AKCYJNA,PLGNOMD00024
SAPLING SPÓŁKA AKCYJNA,removed
BLACK POINT SPÓŁKA AKCYJNA,PLBLKPT00018
POLTRONIC SPÓŁKA AKCYJNA,PLPLTRN00018
BTC STUDIOS SPÓŁKA AKCYJNA,PLDMNMN00016
POLSKIE TOWARZYSTWO WSPIERANIA PRZEDSIĘBIORCZOŚCI SPÓŁKA AKCYJNA,PLPTWP000015
MAGNIFICO SPÓŁKA AKCYJNA,PLMGNFC00016
FIGENE CAPITAL SPÓŁKA AKCYJNA,PLGPPIK00011
INNO GENE SPÓŁKA AKCYJNA,PLINNGN00015
TAX-NET SPÓŁKA AKCYJNA,PLTAXNT00011
CTE,PLCNSPR00019
MEDCAMP SPÓŁKA AKCYJNA,PLTCHPR00019
SAULE TECHNOLOGIES SPÓŁKA AKCYJNA,PLBLMPI00017
MOSTOSTAL WROCŁAW SPÓŁKA AKCYJNA,removed
SAKANA SPÓŁKA AKCYJNA,PLSAKAN00010
INTERNITY SPÓŁKA AKCYJNA,PLINTNT00015
VELTO SPÓŁKA AKCYJNA,PLVELTO00012
EUROCENT SPÓŁKA AKCYJNA,PLERCNT00011
BALTIC CERAMICS INVESTMENTS SPÓŁKA AKCYJNA,PLINPNT00013
NETWISE SPÓŁKA AKCYJNA,PLNETWS00017
AQUA SPÓŁKA AKCYJNA,PLAQUA000014
VERBICOM SPÓŁKA AKCYJNA,PLVRBCM00015
REMEDIS S.A.,PLREMDS00021
MARSOFT SPÓŁKA AKCYJNA,PLMRSFT00016
GARIN SPÓŁKA AKCYJNA,PLABNET00019
RUCH CHORZÓW SPÓŁKA AKCYJNA,PLRCHZW00012
IGORIA TRADE SPÓŁKA AKCYJNA,PLIGRTR00014
FABRYKA KONSTRUKCJI DREWNIANYCH SPÓŁKA AKCYJNA,PLFKDRW00016
UNIFIED FACTORY SPÓŁKA AKCYJNA,PLDTBRK00037
LIVECHAT SOFTWARE SPÓŁKA AKCYJNA,PLLVTSF00010
KREDYT INKASO SPÓŁKA AKCYJNA,PLKRINK00014
SWISSMED PRYWATNY SERWIS MEDYCZNY SPÓŁKA AKCYJNA,PLSWMED00013
SWISSMED CENTRUM ZDROWIA SA,PLSWMED00013
LUKARDI SPÓŁKA AKCYJNA,PLSAP0000018
MAŁKOWSKI-MARTECH SPÓŁKA AKCYJNA,PLMLKMR00016
VIDIS SPÓŁKA AKCYJNA,PLVIDIS00014
GETIN SERVICE PROVIDER SPÓŁKA AKCYJNA,PLGSPR000014
PRZEDSIĘBIORSTWO MODERNIZACJI URZĄDZEŃ ENERGETYCZNYCH REMAK SA,PLREMAK00016
POLMT,PLPOLMT00017
BETACOM SA,PLBTCOM00016
KOMPUTRONIK SPÓŁKA AKCYJNA,PLKMPTR00012
STAR FITNESS SPÓŁKA AKCYJNA,PLSTRFT00011
PLAYMAKERS SPÓŁKA AKCYJNA,removed
7FIT SPÓŁKA AKCYJNA,PLTRCPS00016
OLYMPIC ENTERTAINMENT GROUP AS,EE3100084021
LUBELSKI WĘGIEL BOGDANKA SPÓŁKA AKCYJNA,PLLWBGD00016
CENTRUM NOWOCZESNYCH TECHNOLOGII SA,PLERGPL00014
POWSZECHNA KASA OSZCZĘDNOŚCI BANK POLSKI SA,PLPKO0000016
JASTRZĘBSKA SPÓŁKA WĘGLOWA SPÓŁKA AKCYJNA,PLJSW0000015
HELIO SPÓŁKA AKCYJNA,PLHELIO00014
PPH WADEX S.A.,removed
QUMAK SA,PLQMKSK00017
DROZAPOL-PROFIL SA,PLDRZPL00032
GRUPA KAPITAŁOWA IMMOBILE SPÓŁKA AKCYJNA,PLMAKRM00019
3R GAMES SPÓŁKA AKCYJNA,PLGRNKT00019
WISTIL SA,removed
W INVESTMENTS SA,PLARIEL00046
ZUE SPÓŁKA AKCYJNA,PLZUE0000015
KORPORACJA BUDOWLANA DOM SA,PLTRAST00020
ECHO INVESTMENT SPÓŁKA AKCYJNA,PLECHPS00019
CELTIC PROPERTY DEVELOPMENTS SPÓŁKA AKCYJNA,PLCELPD00013
ESOTIQ & HENDERSON SA,PLESTHN00018
RAFAKO SA,PLRAFAK00018
WIKANA SA,PLELPO000016
MANYDEV,PLADDRG00015
ROBYG SPÓŁKA AKCYJNA,PLROBYG00016
PKP CARGO SPÓŁKA AKCYJNA,PLPKPCR00011
IZOSTAL SPÓŁKA AKCYJNA,PLIZSTL00015
WANDALEX SA,PLWNDLX00024
FABRYKI MEBLI FORTE SA,PLFORTE00012
UNIBEP SPÓŁKA AKCYJNA,PLUNBEP00015
PRAGMA INKASO SPÓŁKA AKCYJNA,PLPRGNK00017
ABC DATA SPÓŁKA AKCYJNA,PLABCDT00014
SANOK RUBBER COMPANY SPÓŁKA AKCYJNA,PLSTLSK00016
LPP SA,PLLPP0000011
KGHM POLSKA MIEDŹ SPÓŁKA AKCYJNA,PLKGHM000017
PRZEDSIĘBIORSTWO HANDLU ZAGRANICZNEGO BALTONA SPÓŁKA AKCYJNA,PLBALTN00014
